description,category_code,category_name
"Доставка груза 5 тонн, маршрут Шымкент-Тараз",49.41,Услуги перевозки грузов автотранспортом
Дизельное топливо 5000 л,19.20,Топливо и ГСМ
"Офисная мебель: столы, стулья — 15 рабочих мест",31.01,Мебель и офисное оборудование
Услуги: лекарственные препараты по заявке №21,21.20,Медицинские товары и препараты
хлебобулочные изделия — партия №14,10.71,Продукты питания (опт)
Ячмень фуражный — 50 тонн,01.11,Сельхозпродукция
Дизельное топливо 5000 л,19.20,Топливо и ГСМ
Услуги: шкафы для документов 2-секционные,31.01,Мебель и офисное оборудование
"Медицинские маски — 5000 шт, количество 12",21.20,Медицинские товары и препараты
"Цемент М400, 20 тонн по договору №196",23.61,Строительные материалы
Услуги: семинар по охране труда,85.42,"Образовательные услуги (курсы, тренинги)"
"Тепловая энергия за период 01-28.02.2025, количество 71",35.30,"Коммунальные услуги (электро, газ, тепло)"
Транспортные услуги по договору №14,49.41,Услуги перевозки грузов автотранспортом
Тепловая энергия за период 01-28.02.2025,35.30,"Коммунальные услуги (электро, газ, тепло)"
"Услуги: арматура а500с d12, 5 тонн",23.61,Строительные материалы
интернет корпоративный тариф optimum,61.10,Услуги связи и интернет
Семена подсолнечника по договору №51,01.11,Сельхозпродукция
"Семинар по охране труда, количество 45",85.42,"Образовательные услуги (курсы, тренинги)"
Восстановление бух. учёта,69.20,Бухгалтерские и аудиторские услуги
"Минеральные удобрения NPK, 5 тонн по договору №484",01.11,Сельхозпродукция
"Тепловая энергия за период 01-28.02.2025, количество 39",35.30,"Коммунальные услуги (электро, газ, тепло)"
"Услуги: минеральные удобрения npk, 5 тонн",01.11,Сельхозпродукция
"Услуги: бензин аи-92, талоны 1000 л",19.20,Топливо и ГСМ
Поставка продуктов питания для столовой,10.71,Продукты питания (опт)
Консультационные услуги по ВЭД,70.22,Консалтинговые услуги
"Услуги по сдаче налоговой отчётности, количество 65",69.20,Бухгалтерские и аудиторские услуги
"Юридическая консультация по налогам, количество 40",69.10,Юридические услуги
Услуги: интернет корпоративный тариф optimum,61.10,Услуги связи и интернет
услуги по сдаче налоговой отчётности,69.20,Бухгалтерские и аудиторские услуги
Кресла офисные эргономичные — 10 шт,31.01,Мебель и офисное оборудование
Молочная продукция оптом,10.71,Продукты питания (опт)
"Аренда помещения по адресу пр. Достык 91, количество 84",68.20,Аренда офисных помещений
Бетон В25 — 30 м3,23.61,Строительные материалы
Услуги: корпоративное обучение сотрудников excel,85.42,"Образовательные услуги (курсы, тренинги)"
Юридическая консультация по налогам,69.10,Юридические услуги
"Бизнес-консультации по выходу на рынок РФ, количество 89",70.22,Консалтинговые услуги
разработка по по тз от 12.03.2025,62.01,Разработка ПО и IT-услуги
Услуги: восстановление бух. учёта,69.20,Бухгалтерские и аудиторские услуги
"Пшеница 3 класс, 100 тонн",01.11,Сельхозпродукция
"Коммунальные услуги: ХВС, ГВС, отопление, количество 57",35.30,"Коммунальные услуги (электро, газ, тепло)"
Тренинг по продажам (16 часов),85.42,"Образовательные услуги (курсы, тренинги)"
Медицинские маски — 5000 шт,21.20,Медицинские товары и препараты
Тепловая энергия за период 01-28.02.2025,35.30,"Коммунальные услуги (электро, газ, тепло)"
Канцелярия для офиса согласно спецификации,17.23,Бумажные канцелярские принадлежности
грузоперевозка щебня по г. алматы,49.41,Услуги перевозки грузов автотранспортом
Автомобиль Hyundai Tucson 2024 г.в.,29.10,Транспортные средства и запчасти
Шкафы для документов 2-секционные,31.01,Мебель и офисное оборудование
Трафик передачи данных по договору №418,61.10,Услуги связи и интернет
Услуги: транспортные услуги по договору №14,49.41,Услуги перевозки грузов автотранспортом
Запчасти для Toyota Camry (тормозные колодки) по договору №35,29.10,Транспортные средства и запчасти
Семинар по охране труда,85.42,"Образовательные услуги (курсы, тренинги)"
Доработка веб-сайта компании,62.01,Разработка ПО и IT-услуги
Тренинг по продажам (16 часов),85.42,"Образовательные услуги (курсы, тренинги)"
Стратегический консалтинг — 1 этап,70.22,Консалтинговые услуги
Кирпич керамический полнотелый — 10000 шт,23.61,Строительные материалы
"Тетради, ручки шариковые, скрепки по договору №77",17.23,Бумажные канцелярские принадлежности
Мобильная связь — 25 номеров,61.10,Услуги связи и интернет
Бизнес-консультации по выходу на рынок РФ,70.22,Консалтинговые услуги
управленческий консалтинг,70.22,Консалтинговые услуги
Правовое сопровождение сделки M&A по договору №463,69.10,Юридические услуги
Услуги: папки-регистраторы 80мм — 100 шт,17.23,Бумажные канцелярские принадлежности
Банковская комиссия за РКО за март,64.19,Банковские и финансовые услуги
"Мясо говядина 1 категории, 200 кг",10.71,Продукты питания (опт)
"Ремонт двигателя ВАЗ-2107, количество 100",29.10,Транспортные средства и запчасти
"Услуги: доставка груза 5 тонн, маршрут шымкент-тараз",49.41,Услуги перевозки грузов автотранспортом
Разработка ПО по ТЗ от 12.03.2025,62.01,Разработка ПО и IT-услуги
Услуги: каски строительные — 50 шт,14.12,Спецодежда и СИЗ
"Топливо ДТ-Л-К5, 3 тонны",19.20,Топливо и ГСМ
Электроэнергия за февраль 2025 по договору №335,35.30,"Коммунальные услуги (электро, газ, тепло)"
"Аренда офисного помещения 50 м2 за март 2025, количество 99",68.20,Аренда офисных помещений
Электроэнергия за февраль 2025,35.30,"Коммунальные услуги (электро, газ, тепло)"
"Услуги связи за март 2025 (Казахтелеком), количество 15",61.10,Услуги связи и интернет
IT-услуги (поддержка инфраструктуры),62.01,Разработка ПО и IT-услуги
Внедрение 1С Бухгалтерия 8.3,62.01,Разработка ПО и IT-услуги
Услуги: семинар по охране труда,85.42,"Образовательные услуги (курсы, тренинги)"
Интернет корпоративный тариф Optimum,61.10,Услуги связи и интернет
"бензин аи-92, талоны 1000 л",19.20,Топливо и ГСМ
Медицинские маски — 5000 шт,21.20,Медицинские товары и препараты
"Услуги: пшеница 3 класс, 100 тонн",01.11,Сельхозпродукция
Жалдау ақысы (кеңсе) — наурыз 2025,68.20,Аренда офисных помещений
Изготовление баннеров 3х6 м — 4 шт,73.11,Рекламные услуги
Тренинг по продажам (16 часов),85.42,"Образовательные услуги (курсы, тренинги)"
Каски строительные — 50 шт,14.12,Спецодежда и СИЗ
Поставка мебели по спецификации,31.01,Мебель и офисное оборудование
"ГСМ за февраль 2025, количество 99",19.20,Топливо и ГСМ
Услуги адвоката по делу №2-1234/25,69.10,Юридические услуги
Курс повышения квалификации,85.42,"Образовательные услуги (курсы, тренинги)"
Кирпич керамический полнотелый — 10000 шт,23.61,Строительные материалы
Консультационные услуги по ВЭД по договору №114,70.22,Консалтинговые услуги
Каски строительные — 50 шт по договору №427,14.12,Спецодежда и СИЗ
Правовое сопровождение сделки M&A,69.10,Юридические услуги
Разработка ПО по ТЗ от 12.03.2025,62.01,Разработка ПО и IT-услуги
Услуги по перевозке грузов г. Алматы — г. Астана,49.41,Услуги перевозки грузов автотранспортом
"Внедрение 1С Бухгалтерия 8.3, количество 16",62.01,Разработка ПО и IT-услуги
"Услуги адвоката по делу №2-1234/25, количество 70",69.10,Юридические услуги
Кирпич керамический полнотелый — 10000 шт,23.61,Строительные материалы
Бухгалтерское сопровождение за квартал,69.20,Бухгалтерские и аудиторские услуги
Шины зимние 215/65 R16 — 4 шт,29.10,Транспортные средства и запчасти
"Сапоги резиновые рабочие, количество 51",14.12,Спецодежда и СИЗ
Спецодежда зимняя — 25 комплектов,14.12,Спецодежда и СИЗ
"Минеральные удобрения NPK, 5 тонн",01.11,Сельхозпродукция
Услуги: юридическая консультация по налогам,69.10,Юридические услуги
Шины зимние 215/65 R16 — 4 шт по договору №106,29.10,Транспортные средства и запчасти
"Контекстная реклама Google Ads, бюджет",73.11,Рекламные услуги
"Бизнес-консультации по выходу на рынок РФ, количество 26",70.22,Консалтинговые услуги
Поставка природного газа,35.30,"Коммунальные услуги (электро, газ, тепло)"
Запчасти для Toyota Camry (тормозные колодки) по договору №343,29.10,Транспортные средства и запчасти
"Медицинские маски — 5000 шт, количество 41",21.20,Медицинские товары и препараты
Жалдау ақысы (кеңсе) — наурыз 2025 по договору №284,68.20,Аренда офисных помещений
"Поставка канцелярских товаров (бумага А4, ручки, папки)",17.23,Бумажные канцелярские принадлежности
"Аренда офисного помещения 50 м2 за март 2025, количество 15",68.20,Аренда офисных помещений
Обслуживание счёта № KZ12...,64.19,Банковские и финансовые услуги
Семена подсолнечника,01.11,Сельхозпродукция
"Юридические услуги по договору №7, количество 85",69.10,Юридические услуги
Правовое сопровождение сделки M&A,69.10,Юридические услуги
"Цемент М400, 20 тонн",23.61,Строительные материалы
Услуги: бизнес-консультации по выходу на рынок рф,70.22,Консалтинговые услуги
"Банковская комиссия за РКО за март, количество 77",64.19,Банковские и финансовые услуги
Юридические услуги по договору №7,69.10,Юридические услуги
"тетради, ручки шариковые, скрепки",17.23,Бумажные канцелярские принадлежности
Услуги: аренда помещения по адресу пр. достык 91,68.20,Аренда офисных помещений
"Арматура А500С d12, 5 тонн",23.61,Строительные материалы
Поставка медикаментов по списку,21.20,Медицинские товары и препараты
Трафик передачи данных,61.10,Услуги связи и интернет
Услуги по разработке мобильного приложения,62.01,Разработка ПО и IT-услуги
"Поставка мебели по спецификации, количество 83",31.01,Мебель и офисное оборудование
Мука пшеничная в/с — 50 мешков,10.71,Продукты питания (опт)
Бетон В25 — 30 м3,23.61,Строительные материалы
"Коммунальные услуги: ХВС, ГВС, отопление",35.30,"Коммунальные услуги (электро, газ, тепло)"
"Доставка груза 5 тонн, маршрут Шымкент-Тараз по договору №187",49.41,Услуги перевозки грузов автотранспортом
Услуги связи за март 2025 (Казахтелеком),61.10,Услуги связи и интернет
"Мясо говядина 1 категории, 200 кг",10.71,Продукты питания (опт)
"Канцелярия для офиса согласно спецификации, количество 71",17.23,Бумажные канцелярские принадлежности
Аренда помещения по адресу пр. Достык 91,68.20,Аренда офисных помещений
SMM-продвижение страницы компании,73.11,Рекламные услуги
Поставка медикаментов по списку,21.20,Медицинские товары и препараты
мобильная связь — 25 номеров,61.10,Услуги связи и интернет
"Бумага А4 SvetoCopy 80 г/м2, 50 пачек",17.23,Бумажные канцелярские принадлежности
Сапоги резиновые рабочие,14.12,Спецодежда и СИЗ
"Услуги: тетради, ручки шариковые, скрепки",17.23,Бумажные канцелярские принадлежности
"Топливо ДТ-Л-К5, 3 тонны по договору №489",19.20,Топливо и ГСМ
Услуги: тепловая энергия за период 01-28.02.2025,35.30,"Коммунальные услуги (электро, газ, тепло)"
Каски строительные — 50 шт,14.12,Спецодежда и СИЗ
комиссия за межбанковский перевод,64.19,Банковские и финансовые услуги
Шины зимние 215/65 R16 — 4 шт,29.10,Транспортные средства и запчасти
"Автомобиль Hyundai Tucson 2024 г.в., количество 13",29.10,Транспортные средства и запчасти
Комиссия за межбанковский перевод,64.19,Банковские и финансовые услуги
Папки-регистраторы 80мм — 100 шт,17.23,Бумажные канцелярские принадлежности
"Тетради, ручки шариковые, скрепки",17.23,Бумажные канцелярские принадлежности
"Размещение наружной рекламы (биллборд), количество 18",73.11,Рекламные услуги
Поставка мебели по спецификации,31.01,Мебель и офисное оборудование
Аудиторская проверка за 2024 год,69.20,Бухгалтерские и аудиторские услуги
Управленческий консалтинг,70.22,Консалтинговые услуги
банковская комиссия за рко за март,64.19,Банковские и финансовые услуги
Жүк тасымалдау қызметтері Алматы-Ақтөбе,49.41,Услуги перевозки грузов автотранспортом
Корпоративное обучение сотрудников Excel,85.42,"Образовательные услуги (курсы, тренинги)"
Ремонт двигателя ВАЗ-2107,29.10,Транспортные средства и запчасти
Восстановление бух. учёта,69.20,Бухгалтерские и аудиторские услуги
Рекламные услуги в Instagram за март,73.11,Рекламные услуги
Офис аренда ежемесячная,68.20,Аренда офисных помещений
"Офисная мебель: столы, стулья — 15 рабочих мест по договору №96",31.01,Мебель и офисное оборудование
Услуги: мука пшеничная в/с — 50 мешков,10.71,Продукты питания (опт)
"СИЗ: перчатки, очки, респираторы",14.12,Спецодежда и СИЗ
Услуги: банковская комиссия за рко за март,64.19,Банковские и финансовые услуги
Банковская комиссия за РКО за март по договору №17,64.19,Банковские и финансовые услуги
молочная продукция оптом,10.71,Продукты питания (опт)
Поставка медикаментов по списку по договору №10,21.20,Медицинские товары и препараты
Лекарственные препараты по заявке №21,21.20,Медицинские товары и препараты
"Щебень фракции 5-20, 50 тонн",23.61,Строительные материалы
"Доставка груза 5 тонн, маршрут Шымкент-Тараз",49.41,Услуги перевозки грузов автотранспортом
Трафик передачи данных по договору №346,61.10,Услуги связи и интернет
Грузоперевозка щебня по г. Алматы,49.41,Услуги перевозки грузов автотранспортом
Банковская комиссия за РКО за март,64.19,Банковские и финансовые услуги
"Услуги: офисная мебель: столы, стулья — 15 рабочих мест",31.01,Мебель и офисное оборудование
Перчатки медицинские нитриловые,21.20,Медицинские товары и препараты
Каски строительные — 50 шт,14.12,Спецодежда и СИЗ
бухгалтерское сопровождение за квартал,69.20,Бухгалтерские и аудиторские услуги
ГСМ за февраль 2025,19.20,Топливо и ГСМ
SMM-продвижение страницы компании,73.11,Рекламные услуги
Услуги по сдаче налоговой отчётности,69.20,Бухгалтерские и аудиторские услуги
"Бензин АИ-92, талоны 1000 л",19.20,Топливо и ГСМ
Комиссия за выдачу гарантии,64.19,Банковские и финансовые услуги
Доработка веб-сайта компании,62.01,Разработка ПО и IT-услуги
Размещение наружной рекламы (биллборд),73.11,Рекламные услуги
Изготовление баннеров 3х6 м — 4 шт,73.11,Рекламные услуги
Внедрение 1С Бухгалтерия 8.3,62.01,Разработка ПО и IT-услуги
Поставка продуктов питания для столовой,10.71,Продукты питания (опт)
Хлебобулочные изделия — партия №14,10.71,Продукты питания (опт)
Услуги: изготовление баннеров 3х6 м — 4 шт,73.11,Рекламные услуги
Консультационные услуги по ВЭД по договору №233,70.22,Консалтинговые услуги
Шкафы для документов 2-секционные,31.01,Мебель и офисное оборудование
"Аудиторская проверка за 2024 год, количество 46",69.20,Бухгалтерские и аудиторские услуги
"Минеральные удобрения NPK, 5 тонн",01.11,Сельхозпродукция
Аренда офисного помещения 50 м2 за март 2025,68.20,Аренда офисных помещений
Сельхозпродукция по контракту №88,01.11,Сельхозпродукция
"Жалдау ақысы (кеңсе) — наурыз 2025, количество 29",68.20,Аренда офисных помещений
"Контекстная реклама Google Ads, бюджет по договору №401",73.11,Рекламные услуги
"СИЗ: перчатки, очки, респираторы, количество 9",14.12,Спецодежда и СИЗ
"бензин аи-92, талоны 1000 л",19.20,Топливо и ГСМ
Запчасти для Toyota Camry (тормозные колодки),29.10,Транспортные средства и запчасти
